DeviceID: MARS-HOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control,simulateAng1JumpCmd
49.689,4721,51,NOERROR,2,1,,,-50.22513,-4.63669,4.129342,18.70797,2.341602,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-54.43669,-1945.034,0
49.696,4722,51,NOERROR,2,1,,,-50.43595,-4.63669,4.129342,18.70797,2.353741,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-54.63258,-1708.421,0
49.704,4723,51,NOERROR,2,1,,,-50.64511,-4.63669,4.129342,18.70797,2.353741,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-54.85614,-1969.205,0
49.711,4724,51,NOERROR,2,1,,,-50.85178,-4.63669,4.129342,18.70797,2.36513,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-55.0515,-1747.454,0
49.719,4725,51,NOERROR,2,1,,,-51.06384,-4.63669,4.129342,18.70797,2.379667,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-55.27454,-1945.014,0
49.726,4726,51,NOERROR,2,1,,,-51.27591,-4.63669,4.129342,18.70797,2.379667,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-55.46936,-1692.319,0
49.733,4727,51,NOERROR,2,1,,,-51.48714,-4.5488,4.041451,18.70797,2.393754,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-55.66389,-1691.254,0
49.741,4728,51,NOERROR,2,1,,,-51.69423,-4.5488,4.041451,18.70797,2.393754,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-55.88588,-1971.778,0
49.748,4729,51,NOERROR,2,1,,,-51.89592,-4.5488,4.041451,18.70797,2.408291,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-56.07985,-1782.051,0
49.756,4730,51,NOERROR,2,1,,,-52.09802,-4.5488,4.041451,18.70797,2.422378,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-56.30116,-2013.907,0
49.763,4731,51,NOERROR,2,1,,,-52.30718,-4.5488,4.041451,18.70797,2.422378,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-56.49453,-1713.022,0
49.771,4732,51,NOERROR,2,1,,,-52.51966,-4.5488,4.041451,18.70797,2.435266,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-56.71514,-1928.046,0
49.778,4733,51,NOERROR,2,1,,,-52.73007,-4.5488,4.041451,18.70797,2.435266,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-56.90788,-1695.045,0
49.786,4734,51,NOERROR,2,1,,,-52.94047,-4.460909,4.041451,18.70797,2.438113,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-57.12778,-1938.502,0
49.793,4735,51,NOERROR,2,1,,,-53.14714,-4.460909,4.041451,18.70797,2.447854,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-57.31989,-1725.861,0
49.801,4736,51,NOERROR,2,1,,,-53.35215,-4.460909,4.041451,18.70797,2.447854,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-57.53905,-1978.208,0
49.808,4737,51,NOERROR,2,1,,,-53.55675,-4.460909,4.041451,18.70797,2.457296,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-57.7305,-1743.975,0
49.816,4738,51,NOERROR,2,1,,,-53.76134,-4.460909,4.041451,18.70797,2.466737,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-57.94901,-1980.061,0
49.823,4739,51,NOERROR,2,1,,,-53.96677,-4.460909,4.041451,18.70797,2.466737,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-58.13978,-1734.22,0
49.831,4740,51,NOERROR,2,1,,,-54.16887,-4.460909,4.041451,18.70797,2.475579,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-58.35741,-1997.277,0
49.838,4741,51,NOERROR,2,1,,,-54.37056,-4.460909,4.041451,18.70797,2.475579,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-58.54748,-1768.674,0
49.845,4742,51,NOERROR,2,1,,,-54.57059,-4.373018,4.041451,18.70797,2.486819,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-58.73723,-1777.906,0
49.853,4743,51,NOERROR,2,1,,,-54.76979,-4.373018,4.041451,18.70797,2.497159,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-58.95366,-2013.952,0
49.86,4744,51,NOERROR,2,1,,,-54.9665,-4.373018,4.041451,18.70797,2.497159,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-59.1427,-1810.804,0
49.868,4745,51,NOERROR,2,1,,,-55.16944,-4.373018,4.041451,18.70797,2.508249,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-59.35831,-1985.979,0
49.875,4746,51,NOERROR,2,1,,,-55.37445,-4.373018,4.041451,18.70797,2.516042,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-59.5466,-1731.252,0
49.883,4747,51,NOERROR,2,1,,,-55.57655,-4.373018,4.129342,18.70797,2.516042,,,,,,,,2.864355,-2.266018,4.189198,18.74351,1,,-89.5994,-59.76134,-1988.089,0
