DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control,simulateAng1JumpCmd
312.65,28220,51,NOERROR,1,1,,,-89.11423,-5.196244,-26.95893,15.64847,3.619479,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.726,0
312.657,28221,51,NOERROR,1,1,,,-89.11423,-5.196244,-26.95893,15.64847,3.622926,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.726,0
312.665,28222,51,NOERROR,1,1,,,-89.11423,-5.196244,-26.87104,15.64847,3.622926,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.726,0
312.672,28223,51,NOERROR,1,1,,,-89.11423,-5.196244,-26.87104,15.64847,3.623826,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.726,0
312.68,28224,51,NOERROR,1,1,,,-89.11382,-5.196244,-26.87104,15.64847,3.625025,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.983,0
312.687,28225,51,NOERROR,1,1,,,-89.11382,-5.196244,-26.87104,15.64847,3.625025,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.928,0
312.694,28226,51,NOERROR,1,1,,,-89.11382,-5.196244,-26.87104,15.64847,3.623076,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.928,0
312.702,28227,51,NOERROR,1,1,,,-89.11382,-5.196244,-26.87104,15.64847,3.622777,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1535.928,0
312.709,28228,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.622777,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1537.187,0
312.717,28229,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.620678,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.724,28230,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.620229,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.732,28231,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.620229,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.739,28232,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.620828,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.747,28233,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.61918,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.754,28234,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.61918,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.762,28235,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.620828,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.769,28236,51,NOERROR,1,1,,,-89.1134,-5.196244,-26.87104,15.64847,3.621578,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.131,0
312.777,28237,51,NOERROR,1,1,,,-89.11298,-5.196244,-26.87104,15.64847,3.621578,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1537.412,0
312.784,28238,51,NOERROR,1,1,,,-89.11298,-5.196244,-26.87104,15.64847,3.623976,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.792,28239,51,NOERROR,1,1,,,-89.11298,-5.196244,-26.87104,15.64847,3.624875,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.799,28240,51,NOERROR,1,1,,,-89.11298,-5.196244,-26.87104,15.64847,3.624875,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.806,28241,51,NOERROR,1,1,,,-89.11298,-5.196244,-26.87104,15.64847,3.626373,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.814,28242,51,NOERROR,1,1,,,-89.11298,-5.284135,-26.95893,15.64847,3.628021,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.821,28243,51,NOERROR,1,1,,,-89.11298,-5.284135,-26.95893,15.64847,3.628021,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.829,28244,51,NOERROR,1,1,,,-89.11298,-5.284135,-26.95893,15.64847,3.630719,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.836,28245,51,NOERROR,1,1,,,-89.11298,-5.284135,-26.95893,15.64847,3.634166,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.844,28246,51,NOERROR,1,1,,,-89.11298,-5.284135,-26.95893,15.64847,3.634166,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1536.337,0
312.851,28247,51,NOERROR,1,1,,,-89.11257,-5.284135,-26.95893,15.64847,3.632817,,,,,,,,0.04331785,3.163811,0.05402573,-13.72217,1,,-91.40511,-91.40511,1537.595,0
