DeviceID: MARS-HOMER
runTime,packetNumber,status,errorString,limb,calib,limbkinparam,limbdynparam,angle1,angle2,angle3,angle4,force,torque,epx,epy,epz,phi1,phi2,phi3,imuangle1,imuangle2,imuangle3,imuangle4,marbtn,calibbtn,target,desired,control
394.723,25401,48,NOERROR,0,0,,,-0.065985,-0.1757813,0,0,0.1846306,,,,,,,,0.1256424,2.262154,-3.700882,-34.83266,1,,999,999,0.0006123477
394.739,25402,48,NOERROR,0,0,,,-0.065985,-0.1757813,0,0,0.1877777,,,,,,,,0.2103291,1.851227,-3.760379,-34.75226,1,,999,999,0
394.754,25403,48,NOERROR,0,0,,,-0.06557,-0.1757813,0,0,0.1901755,,,,,,,,0.3913807,1.775503,-3.458126,-34.55436,1,,999,999,0.0006123697
394.77,25404,48,NOERROR,0,0,,,-0.065155,-0.1757813,0,0,0.1913744,,,,,,,,0.7862425,2.415755,-4.337523,-34.40312,1,,999,999,0.0005381961
394.785,25405,48,NOERROR,0,0,,,-0.065155,-0.1757813,0,0,0.1927232,,,,,,,,0.8249884,1.916141,-3.94446,-34.59684,1,,999,999,0
394.801,25406,48,NOERROR,0,0,,,-0.06473999,-0.1757813,0,0,0.1906251,,,,,,,,0.9238426,2.156329,-4.274311,-34.34504,1,,999,999,0.0005382154
394.817,25407,48,NOERROR,0,0,,,-0.064325,-0.1757813,0,0,0.1859794,,,,,,,,1.117033,1.745856,-3.958679,-34.23313,1,,999,999,0.0005381961
394.832,25408,48,NOERROR,0,0,,,-0.064325,-0.1757813,0,0,0.1792356,,,,,,,,0.8852471,2.27713,-3.935784,-34.9478,1,,999,999,0
394.848,25409,48,NOERROR,0,0,,,-0.064325,-0.1757813,0,0,0.1726416,,,,,,,,0.7176386,2.407034,-3.796686,-35.06152,1,,999,999,0
394.863,25410,48,NOERROR,0,0,,,-0.06391,-0.1757813,0,0,0.1673964,,,,,,,,0.589591,1.951712,-4.247917,-34.28247,1,,999,999,0.0006123477
394.879,25411,48,NOERROR,0,0,,,-0.06391,-0.1757813,0,0,0.1655981,,,,,,,,0.2522259,2.144435,-4.05312,-34.73046,1,,999,999,0
394.894,25412,48,NOERROR,0,0,,,-0.063495,-0.1757813,0,0,0.1646989,,,,,,,,0.2236345,1.887267,-3.984564,-34.49577,1,,999,999,0.0006123697
394.91,25413,48,NOERROR,0,0,,,-0.06308,-0.1757813,0,0,0.1672466,,,,,,,,0.07009341,1.836763,-3.733835,-34.71529,1,,999,999,0.0005381961
394.925,25414,48,NOERROR,0,0,,,-0.062665,-0.1757813,0,0,0.1724918,,,,,,,,0.224255,1.738252,-4.034422,-34.22905,1,,999,999,0.0006123477
394.941,25415,48,NOERROR,0,0,,,-0.06308,-0.1757813,0,0,0.1789358,,,,,,,,0.3361413,2.115394,-4.507159,-33.96893,1,,999,999,-0.0005381961
394.956,25416,48,NOERROR,0,0,,,-0.06308,-0.1757813,0,0,0.1852301,,,,,,,,0.4631468,1.937207,-3.951665,-34.30367,1,,999,999,0
394.972,25417,48,NOERROR,0,0,,,-0.06308,-0.1757813,0,0,0.1862791,,,,,,,,0.7563164,2.045408,-4.205175,-34.3578,1,,999,999,0
394.988,25418,48,NOERROR,0,0,,,-0.062665,-0.1757813,0,0,0.1861293,,,,,,,,0.8414051,1.514814,-3.223793,-34.61301,1,,999,999,0.0005381961
395.003,25419,48,NOERROR,0,0,,,-0.062665,-0.1757813,0,0,0.1861293,,,,,,,,1.052879,2.162668,-4.161366,-34.48766,1,,999,999,0
